Google_Api_Query,Google_Maps,Item_Availability,Item_Discount,Item_Price,Item_Quantity,Store_Latitude,Store_Longitude,Store_Name,Store_Zip
160+Pooler+Pkwy+Pooler+GA+31322,https://maps.google.com/maps?q=160+Pooler+Pkwy+Pooler+GA+31322,In Stock,15% off,$16.88 ,3,32.1438926,-81.2437948,Walmart Supercenter #2860,31322
4725+Us+Highway+80+E+Savannah+GA+31410,https://maps.google.com/maps?q=4725+Us+Highway+80+E+Savannah+GA+31410,In Stock,No Discount,$19.87 ,2,32.0423406,-81.0040274,Walmart #606,31410
14030+Abercorn+St+Savannah+GA+31419,https://maps.google.com/maps?q=14030+Abercorn+St+Savannah+GA+31419,Limited Stock,15% off,$16.88 ,0,31.9808092,-81.173544,Walmart Supercenter #4556,31419
4400+Highway+278+Hardeeville+SC+29927,https://maps.google.com/maps?q=4400+Highway+278+Hardeeville+SC+29927,In Stock,15% off,$16.88 ,11,32.31103,-80.9784231,Walmart Supercenter #2832,29927
4+Bluffton+Rd+Bluffton+SC+29910,https://maps.google.com/maps?q=4+Bluffton+Rd+Bluffton+SC+29910,In Stock,15% off,$16.88 ,25,32.2600971,-80.8542118,Walmart #6395,29910
434+S+Columbia+Ave+Rincon+GA+31326,https://maps.google.com/maps?q=434+S+Columbia+Ave+Rincon+GA+31326,In Stock,No Discount,$19.87 ,6,32.2745995,-81.2259249,Walmart Supercenter #1011,31326
25+Pembroke+Dr+Hilton+Head+SC+29926,https://maps.google.com/maps?q=25+Pembroke+Dr+Hilton+Head+SC+29926,Limited Stock,15% off,$16.88 ,0,32.2115638,-80.7288869,Walmart Supercenter #728,29926
350+Robert+Smalls+Pkwy+Beaufort+SC+29906,https://maps.google.com/maps?q=350+Robert+Smalls+Pkwy+Beaufort+SC+29906,In Stock,15% off,$16.88 ,5,32.4254648,-80.7340876,Walmart Supercenter #1383,29906
265+Sea+Island+Parkway+Beaufort+SC+29907,https://maps.google.com/maps?q=265+Sea+Island+Parkway+Beaufort+SC+29907,In Stock,15% off,$16.88 ,14,32.4074511,-80.6332119,Beaufort #7181,29907
751+W+Oglethorpe+Hwy+Hinesville+GA+31313,https://maps.google.com/maps?q=751+W+Oglethorpe+Hwy+Hinesville+GA+31313,In Stock,15% off,$16.88 ,4,31.8258459,-81.6017932,Walmart Supercenter #862,31313
147+Northside+Dr+E+Statesboro+GA+30458,https://maps.google.com/maps?q=147+Northside+Dr+E+Statesboro+GA+30458,In Stock,15% off,$16.88 ,15,32.4341535,-81.7595513,Walmart Supercenter #754,30458
1100+N+1St+St+Jesup+GA+31545,https://maps.google.com/maps?q=1100+N+1St+St+Jesup+GA+31545,In Stock,15% off,$16.88 ,9,31.6157487,-81.8717765,Walmart Supercenter #2630,31545
2801+Airport+Thruway+Columbus+GA+31909,https://maps.google.com/maps?q=2801+Airport+Thruway+Columbus+GA+31909,In Stock,15% off,$16.88 ,6,32.5229023,-84.9490511,Walmart Supercenter #4283,31909
6475+Gateway+Road+Columbus+GA+31909,https://maps.google.com/maps?q=6475+Gateway+Road+Columbus+GA+31909,In Stock,15% off,$16.88 ,12,32.53804,-84.8759091,Walmart Supercenter #4200,31909
